tag,x,y
car_start,36.0050,-1.5000
big_orange,34.5014,-0.4050
big_orange,34.4987,0.3950
big_orange,37.5013,-0.3950
big_orange,37.4986,0.4050
blue,34.5000,-0.0050
yellow,37.5000,0.0050
blue,34.1000,1.8935
yellow,36.8965,2.9795
blue,33.0153,3.7000
yellow,35.4084,5.5091
blue,31.4587,5.3341
yellow,33.4822,7.5490
blue,29.6153,6.7871
yellow,31.3552,9.2310
blue,27.5964,8.0770
yellow,29.1208,10.6608
blue,25.4687,9.2307
yellow,26.8208,11.9088
blue,23.2642,10.2629
yellow,24.4745,13.0079
blue,21.0062,11.1975
yellow,22.0992,13.9913
blue,18.7107,12.0440
yellow,19.6993,14.8765
blue,16.3865,12.8097
yellow,17.2795,15.6737
blue,14.0391,13.5005
yellow,14.8441,16.3905
blue,11.6740,14.1222
yellow,12.3959,17.0340
blue,9.2954,14.6765
yellow,9.9358,17.6073
blue,6.9062,15.1641
yellow,7.4651,18.1116
blue,4.5094,15.5840
yellow,4.9844,18.5462
blue,2.1083,15.9336
yellow,2.4934,18.9088
blue,-0.2943,16.2059
yellow,-0.0079,19.1922
blue,-2.6961,16.3945
yellow,-2.5180,19.3892
blue,-5.0894,16.4915
yellow,-5.0394,19.4911
blue,-7.4670,16.4747
yellow,-7.5716,19.4729
blue,-9.8178,16.3274
yellow,-10.1128,19.3129
blue,-12.1200,16.0172
yellow,-12.6606,18.9681
blue,-14.3362,15.5042
yellow,-15.2062,18.3753
blue,-16.4055,14.7276
yellow,-17.7109,17.4287
blue,-18.2441,13.6303
yellow,-20.0723,16.0088
blue,-19.7553,12.1669
yellow,-22.0942,14.0456
blue,-20.8780,10.3442
yellow,-23.5785,11.6508
blue,-21.6355,8.2456
yellow,-24.5217,9.0639
blue,-22.1041,5.9743
yellow,-25.0667,6.4463
blue,-22.3680,3.6106
yellow,-25.3583,3.8512
blue,-22.4856,1.2060
yellow,-25.4847,1.2795
blue,-22.4855,-1.2071
yellow,-25.4847,-1.2804
blue,-22.3686,-3.6027
yellow,-25.3590,-3.8422
blue,-22.1080,-5.9499
yellow,-25.0711,-6.4188
blue,-21.6467,-8.2020
yellow,-24.5351,-9.0126
blue,-20.9029,-10.2885
yellow,-23.6094,-11.5825
blue,-19.7913,-12.1194
yellow,-22.1394,-13.9865
blue,-18.2668,-13.6125
yellow,-20.0997,-15.9875
blue,-16.3786,-14.7397
yellow,-17.6767,-17.4443
blue,-14.2348,-15.5321
yellow,-15.0891,-18.4079
blue,-11.9373,-16.0495
yellow,-12.4584,-19.0039
blue,-9.5574,-16.3525
yellow,-9.8293,-19.3402
blue,-7.1355,-16.4844
yellow,-7.2154,-19.4834
blue,-4.6935,-16.4810
yellow,-4.6219,-19.4801
blue,-2.2459,-16.3671
yellow,-2.0472,-19.3606
blue,0.1993,-16.1559
yellow,0.5080,-19.1400
blue,2.6387,-15.8617
yellow,3.0434,-18.8343
blue,5.0675,-15.4930
yellow,5.5606,-18.4522
blue,7.4821,-15.0545
yellow,8.0602,-17.9983
blue,9.8798,-14.5479
yellow,10.5410,-17.4741
blue,12.2587,-13.9754
yellow,13.0018,-16.8819
blue,14.6151,-13.3373
yellow,15.4420,-16.2211
blue,16.9449,-12.6317
yellow,17.8600,-15.4887
blue,19.2429,-11.8551
yellow,20.2529,-14.6800
blue,21.5020,-11.0026
yellow,22.6176,-13.7874
blue,23.7111,-10.0656
yellow,24.9490,-12.7983
blue,25.8566,-9.0305
yellow,27.2354,-11.6949
blue,27.9177,-7.8901
yellow,29.4696,-10.4576
blue,29.8536,-6.6174
yellow,31.6244,-9.0391
blue,31.6114,-5.1956
yellow,33.6607,-7.3867
blue,33.0864,-3.6129
yellow,35.4986,-5.3965
blue,34.1119,-1.8666
yellow,36.9171,-2.9299
blue,34.5000,-0.0050
yellow,37.5000,0.0050
