tag,x,y
car_start,-1.4704,0.5193
big_orange,-0.3040,1.9684
big_orange,0.4951,1.9324
big_orange,-0.4389,-1.0286
big_orange,0.3603,-1.0645
blue,0.0955,1.9504
yellow,-0.0393,-1.0466
blue,2.5161,1.8139
yellow,2.3159,-1.1794
blue,4.9267,1.6275
yellow,4.6743,-1.3619
blue,7.3239,1.4082
yellow,7.0403,-1.5784
blue,9.7082,1.1735
yellow,9.4158,-1.8122
blue,12.0805,0.9423
yellow,11.8035,-2.0449
blue,14.4414,0.7345
yellow,14.2066,-2.2563
blue,16.7906,0.5723
yellow,16.6281,-2.4233
blue,19.1266,0.4798
yellow,19.0701,-2.5197
blue,21.4455,0.4838
yellow,21.5329,-2.5149
blue,23.7398,0.6132
yellow,24.0126,-2.3744
blue,25.9980,0.8979
yellow,26.4985,-2.0600
blue,28.2040,1.3667
yellow,28.9703,-1.5338
blue,30.3377,2.0426
yellow,31.3964,-0.7644
blue,32.3774,2.9396
yellow,33.7368,0.2653
blue,34.3034,4.0583
yellow,35.9504,1.5508
blue,36.1012,5.3863
yellow,38.0053,3.0681
blue,37.7592,6.8979
yellow,39.8870,4.7831
blue,39.2586,8.5630
yellow,41.5896,6.6745
blue,40.5662,10.3598
yellow,43.0944,8.7448
blue,41.6310,12.2693
yellow,44.3537,11.0096
blue,42.3811,14.2629
yellow,45.2788,13.4863
blue,42.7235,16.2950
yellow,45.7205,16.1599
blue,42.5720,18.3140
yellow,45.5145,18.8986
blue,41.9372,20.2449
yellow,44.6604,21.5036
blue,40.8721,21.9870
yellow,43.2350,23.8355
blue,39.4414,23.4371
yellow,41.3109,25.7834
blue,37.7209,24.5020
yellow,38.9696,27.2297
blue,35.7891,25.1090
yellow,36.3443,28.0572
blue,33.6918,25.2445
yellow,33.6675,28.2444
blue,31.4699,25.0548
yellow,31.1180,28.0341
blue,29.1574,24.7007
yellow,28.7020,27.6659
blue,26.7382,24.3285
yellow,26.4018,27.3095
blue,24.1117,24.1513
yellow,24.2776,27.1467
blue,21.2066,24.7331
yellow,22.5296,27.4257
blue,18.9012,26.7672
yellow,21.3174,28.5454
blue,17.6980,29.3146
yellow,20.5131,30.3515
blue,17.0032,31.7726
yellow,19.9106,32.5120
blue,16.4643,34.1337
yellow,19.3845,34.8210
blue,15.9169,36.3935
yellow,18.8042,37.2081
blue,15.2279,38.5343
yellow,18.0280,39.6111
blue,14.3218,40.5520
yellow,16.9772,41.9480
blue,13.1829,42.4287
yellow,15.6379,44.1530
blue,11.8114,44.1289
yellow,14.0099,46.1702
blue,10.2201,45.6204
yellow,12.1149,47.9463
blue,8.4336,46.8801
yellow,9.9950,49.4417
blue,6.4850,47.8956
yellow,7.7033,50.6371
blue,4.4110,48.6658
yellow,5.2934,51.5331
blue,2.2468,49.1981
yellow,2.8117,52.1444
blue,0.0238,49.5053
yellow,0.2944,52.4931
blue,-2.2316,49.6024
yellow,-2.2315,52.6024
blue,-4.4980,49.5045
yellow,-4.7465,52.4942
blue,-6.7580,49.2254
yellow,-7.2362,52.1871
blue,-8.9974,48.7775
yellow,-9.6895,51.6965
blue,-11.2037,48.1709
yellow,-12.0974,51.0347
blue,-13.3660,47.4140
yellow,-14.4514,50.2108
blue,-15.4738,46.5136
yellow,-16.7436,49.2315
blue,-17.5165,45.4749
yellow,-18.9655,48.1017
blue,-19.4830,44.3020
yellow,-21.1076,46.8240
blue,-21.3614,42.9984
yellow,-23.1589,45.4002
blue,-23.1384,41.5668
yellow,-25.1067,43.8308
blue,-24.7991,40.0104
yellow,-26.9356,42.1163
blue,-26.3269,38.3328
yellow,-28.6280,40.2577
blue,-27.7037,36.5391
yellow,-30.1630,38.2572
blue,-28.9102,34.6365
yellow,-31.5174,36.1205
blue,-29.9267,32.6350
yellow,-32.6664,33.8573
blue,-30.7352,30.5475
yellow,-33.5852,31.4841
blue,-31.3228,28.3866
yellow,-34.2533,29.0287
blue,-31.6935,26.1704
yellow,-34.6723,26.5263
blue,-31.8556,23.9217
yellow,-34.8544,24.0033
blue,-31.8157,21.6632
yellow,-34.8100,21.4789
blue,-31.5781,19.4154
yellow,-34.5448,18.9700
blue,-31.1455,17.1986
yellow,-34.0613,16.4929
blue,-30.5180,15.0340
yellow,-33.3571,14.0647
blue,-29.6941,12.9452
yellow,-32.4262,11.7060
blue,-28.6713,10.9595
yellow,-31.2592,9.4421
blue,-27.4471,9.1095
yellow,-29.8447,7.3063
blue,-26.0220,7.4332
yellow,-28.1728,5.3419
blue,-24.4015,5.9736
yellow,-26.2409,3.6036
blue,-22.5973,4.7727
yellow,-24.0651,2.1563
blue,-20.6202,3.8543
yellow,-21.7054,1.0575
blue,-18.5020,3.1890
yellow,-19.2579,0.2858
blue,-16.2858,2.7302
yellow,-16.7858,-0.2279
blue,-14.0061,2.4318
yellow,-14.3176,-0.5520
blue,-11.6849,2.2514
yellow,-11.8649,-0.7432
blue,-9.3351,2.1519
yellow,-9.4312,-0.8466
blue,-6.9637,2.1005
yellow,-7.0170,-0.8991
blue,-4.5740,2.0675
yellow,-4.6213,-0.9321
blue,-2.1681,2.0247
yellow,-2.2432,-0.9743
