tag,x,y
car_start,-1.4704,0.5193
big_orange,-0.304,1.9684
big_orange,0.4951,1.9324
big_orange,-0.4389,-1.0286
big_orange,0.3603,-1.0645
blue,0.1542,1.9352
yellow,0.1797,-0.9878
blue,2.417,1.842
yellow,2.2593,-1.2417
blue,4.9367,1.6067
yellow,4.624,-1.4112
blue,7.1688,1.3493
blue,9.7151,1.2585
yellow,9.3096,-1.7765
blue,12.1279,0.873
yellow,11.7116,-1.9549
yellow,14.3616,-2.2256
blue,16.7123,0.6536
yellow,16.5959,-2.3603
blue,19.208,0.3969
yellow,18.947,-2.5757
blue,21.4682,0.5585
yellow,21.6636,-2.4539
blue,23.5791,0.6111
yellow,24.0311,-2.3627
yellow,26.5245,-1.9322
blue,28.2822,1.3075
yellow,28.8466,-1.4791
blue,30.2057,2.0224
yellow,31.4486,-0.7862
blue,32.4071,3.0495
yellow,33.7618,0.3478
blue,34.338,4.1397
yellow,35.8824,1.6813
blue,36.1244,5.3884
yellow,38.0346,3.1363
blue,37.6878,6.8669
yellow,40.0736,4.8155
blue,39.306,8.55
yellow,41.4705,6.6842
blue,40.6319,10.4193
blue,41.5335,12.1875
yellow,44.4324,11.2188
blue,42.497,14.1623
yellow,45.1967,13.3649
blue,42.8198,16.4108
blue,42.6133,18.3932
yellow,45.5967,18.961
blue,42.1269,20.3077
yellow,44.6359,21.5024
blue,40.7967,21.8973
yellow,43.146,23.8431
blue,39.3598,23.3694
yellow,41.3032,25.8809
blue,37.755,24.4873
yellow,38.9973,27.1472
blue,35.8718,25.0769
yellow,36.3456,28.0985
blue,33.8372,25.1881
yellow,33.641,28.1622
blue,31.7419,25.0792
yellow,31.1806,28.0586
yellow,28.6163,27.6152
blue,26.6311,24.2814
blue,24.1599,24.1745
yellow,24.2553,27.0019
blue,21.278,24.5924
yellow,22.5769,27.3539
yellow,21.3101,28.5241
blue,17.6133,29.3457
yellow,20.3616,30.499
blue,16.9585,31.8584
yellow,19.9962,32.496
blue,16.4857,34.1318
yellow,19.2599,34.7207
blue,15.9342,36.3916
yellow,18.8427,37.1792
blue,15.1395,38.5666
yellow,18.0434,39.5284
blue,14.3276,40.6039
yellow,16.8629,42.1013
blue,13.2187,42.4178
yellow,15.694,44.1932
blue,11.9197,44.1979
yellow,14.1153,46.1301
blue,10.0823,45.6428
yellow,12.0211,47.9476
blue,8.4851,46.8899
yellow,10.0464,49.3644
yellow,7.7548,50.6396
blue,4.7963,48.7156
yellow,5.3505,51.6782
blue,2.3604,49.294
yellow,2.9071,52.3597
blue,0.0889,49.4286
yellow,0.2629,52.5803
blue,-2.1557,49.6207
yellow,-2.3088,52.8214
blue,-4.5217,49.4237
yellow,-4.795,52.4102
blue,-6.7498,49.1655
blue,-8.7659,48.5651
yellow,-9.8762,51.6439
blue,-11.1351,48.095
yellow,-12.2587,51.0497
blue,-13.4132,47.4482
yellow,-14.3425,50.3984
blue,-15.4674,46.6086
yellow,-16.8514,49.1738
blue,-17.588,45.3851
yellow,-18.8975,48.1509
blue,-19.556,44.17
yellow,-21.086,47.0071
blue,-21.3568,43.1163
yellow,-23.2241,45.3533
blue,-22.924,41.3955
yellow,-25.0433,43.9662
blue,-25.0016,39.9989
yellow,-26.917,42.2401
blue,-26.3931,38.1734
yellow,-28.5428,40.1978
yellow,-30.2423,38.2577
blue,-28.9217,34.6412
yellow,-31.4669,36.0755
blue,-29.8401,32.6973
yellow,-32.7864,33.7505
blue,-30.7687,30.5333
yellow,-33.6327,31.4961
blue,-31.3881,28.438
yellow,-34.0768,29.0999
blue,-31.653,26.0579
yellow,-34.7984,26.3729
blue,-31.7638,24.0495
yellow,-34.6422,24.0365
blue,-31.7125,21.5884
blue,-31.73,19.5705
yellow,-34.5932,18.9816
blue,-31.0188,17.3165
yellow,-34.1321,16.4997
blue,-30.4736,15.2401
yellow,-33.2796,14.2402
blue,-28.764,10.9346
yellow,-31.2652,9.5393
blue,-27.7712,9.174
yellow,-29.9471,7.4432
blue,-26.0473,7.3367
yellow,-28.2976,5.4105
blue,-24.2383,6.0794
yellow,-26.3839,3.4277
yellow,-24.1091,2.038
blue,-20.6071,3.6504
yellow,-21.5613,1.0306
blue,-18.6456,3.2608
yellow,-19.1416,0.436
blue,-16.2848,2.7376
yellow,-16.884,-0.065
blue,-13.9599,2.2938
yellow,-14.2977,-0.7223
blue,-11.7449,2.2458
yellow,-11.8579,-0.7048
yellow,-9.4697,-0.8499
blue,-6.9523,1.8938
yellow,-6.9508,-0.908
blue,-4.4154,1.9371
yellow,-4.7451,-0.8651
blue,-1.9548,2.0614
yellow,-2.4384,-1.0683
blue,0.1542,1.9352
yellow,0.1797,-0.9878
