tag,x,y
car_start,36.005,-1.5
big_orange,34.5014,-0.405
big_orange,34.4987,0.395
big_orange,37.5013,-0.395
big_orange,37.4986,0.405
blue,34.447,0.1004
yellow,37.5513,-0.1328
blue,34.1097,1.7997
yellow,36.9934,3.031
blue,32.9451,3.7514
yellow,35.3756,5.5606
blue,31.4195,5.7194
yellow,33.3358,7.6061
blue,29.6449,6.9007
yellow,31.3813,9.3264
blue,27.5969,8.1421
yellow,29.0973,10.6293
yellow,26.6793,11.9847
blue,23.2221,10.1856
yellow,24.4402,12.9842
blue,20.926,11.149
yellow,22.0831,13.9995
blue,18.7511,12.2755
blue,16.5751,12.623
yellow,17.297,15.7423
yellow,14.8699,16.2292
blue,11.6666,14.075
yellow,12.204,17.1429
blue,9.2927,14.6829
yellow,9.9418,17.4995
blue,7.1525,15.0926
blue,4.4902,15.652
yellow,5.0146,18.4732
blue,2.1048,15.9552
yellow,2.3765,18.9134
blue,-0.18,16.1407
yellow,0.0673,19.4066
blue,-2.617,16.4579
yellow,-2.6089,19.1867
blue,-4.9491,16.5101
yellow,-5.1796,19.4249
blue,-7.4083,16.5599
blue,-9.5988,16.2481
yellow,-10.2119,19.3014
blue,-12.1766,16.0677
yellow,-12.6506,19.0547
blue,-14.3865,15.3842
yellow,-15.3613,18.3418
blue,-16.3986,14.6801
yellow,-17.8171,17.3634
blue,-18.1967,13.8068
yellow,-20.1642,16.0493
blue,-19.6003,12.0408
yellow,-22.1725,14.1374
blue,-20.9102,10.5564
blue,-21.5541,8.3488
yellow,-24.6448,8.912
blue,-22.0814,5.9259
yellow,-24.936,6.573
blue,-22.5287,3.5398
yellow,-25.3398,3.8956
yellow,-25.4587,1.357
blue,-22.4073,-1.2998
yellow,-25.6084,-1.2864
blue,-22.5006,-3.9268
yellow,-25.3068,-3.9446
blue,-22.0783,-5.9752
yellow,-25.0461,-6.5436
yellow,-24.5005,-8.8494
blue,-20.9709,-10.4315
yellow,-23.5862,-11.6265
blue,-19.762,-12.1063
yellow,-22.2108,-13.8424
blue,-18.0802,-13.7561
yellow,-20.0523,-15.8712
blue,-16.4977,-14.7387
yellow,-17.611,-17.5425
blue,-14.3323,-15.4859
yellow,-15.0104,-18.388
blue,-11.8214,-16.1095
yellow,-12.5405,-18.9969
blue,-9.4611,-16.391
yellow,-9.788,-19.3288
blue,-7.0533,-16.4182
blue,-4.5038,-16.3224
yellow,-4.6464,-19.6039
blue,-2.3213,-16.1538
yellow,-2.1362,-19.5558
blue,2.5571,-15.8769
yellow,3.0357,-18.7755
blue,5.1016,-15.4649
yellow,5.5883,-18.5145
blue,7.5648,-15.0753
yellow,8.0615,-18.0476
blue,10.0252,-14.6068
yellow,10.5145,-17.3891
blue,12.5307,-13.9397
yellow,13.0644,-16.9512
blue,14.5294,-13.2473
yellow,15.3349,-16.1904
blue,16.9931,-12.5504
yellow,17.8377,-15.4257
blue,19.3143,-11.938
yellow,20.3002,-14.736
blue,21.4947,-10.9279
yellow,22.5329,-13.7264
blue,23.5596,-10.0677
blue,25.8119,-9.0188
yellow,27.321,-11.5671
blue,27.9391,-7.9493
yellow,29.345,-10.4029
blue,29.8709,-6.6376
yellow,31.6629,-9.0609
blue,31.523,-5.0857
yellow,33.6761,-7.3042
blue,33.0922,-3.5315
yellow,35.3843,-5.266
blue,34.1477,-1.8645
yellow,36.9732,-2.8617
yellow,37.6083,-0.026
blue,34.447,0.1004
yellow,37.5513,-0.1328
