tag,x,y
car_start,0.0000,0.0000
big_orange,6.2726,1.9709
big_orange,5.9801,1.9247
big_orange,5.7778,-1.9779
big_orange,6.0414,-1.9177
blue,5.5626,2.4341
yellow,5.0392,-2.2167
blue,7.7118,1.9678
yellow,6.4665,-2.3990
blue,9.6228,1.0583
yellow,8.0103,-2.8281
blue,11.2856,0.1449
yellow,9.6828,-3.5212
blue,12.8366,-0.4985
yellow,11.5346,-4.3420
blue,14.2688,-0.7379
yellow,13.6921,-5.0160
blue,15.4997,-0.6476
yellow,16.1489,-5.0794
blue,16.6422,-0.3165
yellow,18.5512,-4.3811
blue,17.7144,0.3164
yellow,20.5687,-2.9804
blue,18.5934,1.2538
yellow,22.0686,-1.1003
blue,19.2436,2.4389
yellow,23.0593,1.0065
blue,19.6407,3.8004
yellow,23.5992,3.2055
blue,19.7605,5.2492
yellow,23.7205,5.4410
blue,19.5846,6.6905
yellow,23.4024,7.6686
blue,19.1045,8.0185
yellow,22.5761,9.8064
blue,18.3403,9.1203
yellow,21.2123,11.7216
blue,17.3478,9.9201
yellow,19.3763,13.2760
blue,16.1773,10.4007
yellow,17.1729,14.3097
blue,14.9627,10.4649
yellow,14.6956,14.6391
blue,13.9801,10.1072
yellow,12.1406,13.9977
blue,13.0687,9.4024
yellow,10.1173,12.5086
blue,12.0051,8.2211
yellow,8.7555,10.9014
blue,10.7622,6.6668
yellow,7.6585,9.5958
blue,9.0072,4.9710
yellow,6.7129,8.7888
blue,6.3938,3.9718
yellow,5.8890,8.4887
blue,3.5698,4.2773
yellow,5.0256,8.5839
blue,1.5641,5.8927
yellow,4.0026,9.0720
blue,0.1357,7.4441
yellow,2.7542,10.0394
blue,-1.1616,8.7303
yellow,1.3984,11.3306
blue,-2.4671,9.8363
yellow,-0.0162,12.7262
blue,-3.7944,10.7571
yellow,-1.5865,14.0970
blue,-5.1314,11.4585
yellow,-3.4519,15.2445
blue,-6.4702,11.8979
yellow,-5.6278,15.9510
blue,-7.8038,12.0171
yellow,-7.9728,16.1504
blue,-9.0479,11.7650
yellow,-10.3620,15.7754
blue,-10.1600,11.1569
yellow,-12.5641,14.7593
blue,-11.1741,10.2459
yellow,-14.3385,13.2421
blue,-12.0624,9.1075
yellow,-15.6821,11.4364
blue,-12.7891,7.8118
yellow,-16.6612,9.4596
blue,-13.3167,6.3973
yellow,-17.3196,7.3782
blue,-13.5774,4.9040
yellow,-17.6770,5.2278
blue,-13.5289,3.3924
yellow,-17.7277,3.0404
blue,-13.2005,1.9198
yellow,-17.4448,0.8640
blue,-12.6694,0.5102
yellow,-16.7923,-1.2310
blue,-11.9958,-0.8345
yellow,-15.7533,-3.1630
blue,-11.1960,-2.0466
yellow,-14.3258,-4.8909
blue,-10.2864,-3.0050
yellow,-12.4966,-6.3824
blue,-9.2992,-3.5599
yellow,-10.1856,-7.4742
blue,-8.2371,-3.5808
yellow,-7.5156,-7.7034
blue,-7.1597,-3.0258
yellow,-5.1633,-6.7552
blue,-6.0403,-2.0458
yellow,-3.3410,-5.4849
blue,-4.7384,-0.7482
yellow,-1.8442,-4.3630
blue,-3.0738,0.5928
yellow,-0.5290,-3.5077
blue,-1.0323,1.5592
yellow,0.7641,-2.8828
blue,1.1267,2.1575
yellow,2.1414,-2.4540
blue,3.3311,2.4598
yellow,3.5794,-2.2311
blue,5.5626,2.4341
yellow,5.0392,-2.2167
