tag,x,y
car_start,0.0,0.0
big_orange,6.2726,1.9709
big_orange,5.9801,1.9247
big_orange,5.7778,-1.9779
big_orange,6.0414,-1.9177
blue,5.5718,2.4967
yellow,4.8404,-2.3024
blue,7.6898,1.8607
yellow,6.5022,-2.3508
blue,9.7706,1.036
yellow,7.9585,-2.7567
blue,11.2048,0.1922
yellow,9.6326,-3.5285
blue,12.9281,-0.5832
yellow,11.5675,-4.4935
blue,14.2158,-0.7826
yellow,13.7434,-4.9304
blue,16.6519,-0.2951
yellow,18.6481,-4.5057
blue,17.6442,0.3337
yellow,20.5359,-2.9419
blue,18.5542,1.1654
yellow,21.9222,-1.0849
blue,19.2732,2.4447
yellow,23.0854,0.8922
yellow,23.5997,3.2413
blue,19.737,5.3053
yellow,23.579,5.5493
blue,19.5425,6.7959
yellow,23.3681,7.5308
blue,19.0243,7.9247
yellow,22.56,9.8579
blue,18.3807,9.1717
yellow,21.4009,11.7731
blue,17.3653,10.3054
yellow,19.4021,13.3331
blue,16.1699,10.5143
blue,14.7708,10.5603
yellow,14.6929,14.7042
blue,13.9861,10.0757
yellow,12.3869,14.0736
blue,13.0495,9.3251
yellow,10.1475,12.4849
blue,12.0016,8.1726
yellow,8.6386,10.9096
blue,10.8765,6.8983
blue,9.0824,4.7843
yellow,6.792,8.8574
blue,6.3029,3.8105
yellow,6.0293,8.4415
blue,3.4296,4.3862
yellow,5.0843,8.5903
blue,1.7831,5.7849
yellow,3.9035,9.0005
blue,0.0791,7.5121
yellow,2.7642,9.9664
blue,-1.2119,8.7519
blue,-2.6222,9.8409
yellow,-0.0093,12.661
blue,-3.9006,10.9715
yellow,-1.5391,14.1604
yellow,-3.5438,15.042
blue,-6.3152,11.9165
yellow,-5.7061,15.8848
blue,-7.836,12.1023
yellow,-7.8914,16.0711
blue,-9.171,11.7535
yellow,-10.3393,15.8259
blue,-11.0434,10.3325
yellow,-14.4992,13.1221
blue,-12.0439,9.074
yellow,-15.6561,11.3889
blue,-12.7109,7.7465
yellow,-16.7849,9.6361
blue,-13.4487,6.4378
yellow,-17.2674,7.2521
blue,-13.5477,4.9958
yellow,-17.652,5.44
blue,-13.4943,3.4956
yellow,-17.7957,2.8885
blue,-13.1773,1.8714
yellow,-17.4155,0.9907
blue,-12.7408,0.4394
yellow,-16.6057,-1.1866
blue,-11.9484,-0.757
yellow,-15.8724,-3.2557
blue,-11.1303,-2.0526
yellow,-14.4233,-5.215
yellow,-12.4179,-6.4848
blue,-9.1833,-3.5852
yellow,-10.2677,-7.599
blue,-8.1408,-3.4176
yellow,-7.4743,-7.8464
blue,-7.0775,-3.0698
yellow,-4.9736,-6.7421
blue,-6.0648,-1.9017
yellow,-3.4164,-5.6285
blue,-4.8274,-0.6319
blue,-3.1554,0.5938
yellow,-0.5367,-3.6059
blue,-0.9982,1.6054
yellow,0.7918,-2.8629
blue,1.2094,2.0975
blue,3.3324,2.4668
yellow,3.7248,-2.2696
blue,5.5361,2.4455
yellow,5.3112,-2.1505
blue,5.5718,2.4967
yellow,4.8404,-2.3024
