tag,x,y
car_start,-11.4891,-14.8196
big_orange,-10.2167,-13.4628
big_orange,-9.4226,-13.5590
big_orange,-10.5774,-16.4410
big_orange,-9.7833,-16.5372
blue,-9.8196,-13.5109
yellow,-10.1804,-16.4891
blue,-7.5779,-13.5000
yellow,-7.5779,-16.5000
blue,-5.1558,-13.5000
yellow,-5.1558,-16.5000
blue,-2.7338,-13.5000
yellow,-2.7338,-16.5000
blue,-0.3117,-13.5000
yellow,-0.3117,-16.5000
blue,2.1104,-13.5000
yellow,2.1104,-16.5000
blue,4.5325,-13.5000
yellow,4.5325,-16.5000
blue,6.9545,-13.5000
yellow,6.9545,-16.5000
blue,9.2769,-13.5033
yellow,9.4763,-16.4967
blue,11.2213,-13.2800
yellow,12.2990,-16.0798
blue,12.6159,-12.3252
yellow,14.8581,-14.3182
blue,13.4090,-10.7966
yellow,16.2989,-11.6018
blue,13.5007,-8.7436
yellow,16.4993,-8.8343
blue,13.5000,-6.3669
yellow,16.5000,-6.3669
blue,13.5000,-3.9448
yellow,16.5000,-3.9448
blue,13.5000,-1.5227
yellow,16.5000,-1.5227
blue,13.5000,0.8994
yellow,16.5000,0.8994
blue,13.5000,3.3214
yellow,16.5000,3.3214
blue,13.5000,5.7435
yellow,16.5000,5.7435
blue,13.5000,8.1549
yellow,16.5000,8.1763
blue,13.4913,10.3086
yellow,16.4394,10.8640
blue,12.8847,11.9818
yellow,15.3574,13.6806
blue,11.6299,13.0973
yellow,13.0270,15.7521
blue,9.8196,13.5109
yellow,10.1804,16.4891
blue,7.5779,13.5000
yellow,7.5779,16.5000
blue,5.1558,13.5000
yellow,5.1558,16.5000
blue,2.7338,13.5000
yellow,2.7338,16.5000
blue,0.3117,13.5000
yellow,0.3117,16.5000
blue,-2.1104,13.5000
yellow,-2.1104,16.5000
blue,-4.5325,13.5000
yellow,-4.5325,16.5000
blue,-6.9545,13.5000
yellow,-6.9545,16.5000
blue,-9.2769,13.5033
yellow,-9.4763,16.4967
blue,-11.2213,13.2800
yellow,-12.2990,16.0798
blue,-12.6159,12.3252
yellow,-14.8581,14.3182
blue,-13.4090,10.7966
yellow,-16.2989,11.6018
blue,-13.5007,8.7436
yellow,-16.4993,8.8343
blue,-13.5000,6.3669
yellow,-16.5000,6.3669
blue,-13.5000,3.9448
yellow,-16.5000,3.9448
blue,-13.5000,1.5227
yellow,-16.5000,1.5227
blue,-13.5000,-0.8994
yellow,-16.5000,-0.8994
blue,-13.5000,-3.3214
yellow,-16.5000,-3.3214
blue,-13.5000,-5.7435
yellow,-16.5000,-5.7435
blue,-13.5000,-8.1549
yellow,-16.5000,-8.1763
blue,-13.4913,-10.3086
yellow,-16.4394,-10.8640
blue,-12.8847,-11.9818
yellow,-15.3574,-13.6806
blue,-11.6299,-13.0973
yellow,-13.0270,-15.7521
blue,-9.8196,-13.5109
yellow,-10.1804,-16.4891
