tag,x,y
car_start,-11.4891,-14.8196
big_orange,-10.2167,-13.4628
big_orange,-9.4226,-13.559
big_orange,-10.5774,-16.441
big_orange,-9.7833,-16.5372
blue,-9.7016,-13.5466
yellow,-10.2702,-16.4335
blue,-7.4944,-13.3956
yellow,-7.5482,-16.4474
blue,-5.2596,-13.3636
yellow,-5.1634,-16.2461
blue,-2.6365,-13.5324
yellow,-2.6542,-16.5206
blue,-0.1622,-13.644
yellow,-0.2779,-16.3809
blue,2.4476,-13.3701
yellow,2.0184,-16.5867
yellow,4.4926,-16.4382
blue,6.9484,-13.3783
yellow,6.8126,-16.4774
blue,9.3811,-13.4186
yellow,9.5667,-16.4792
blue,11.2232,-13.4017
yellow,12.2456,-15.9749
blue,12.4664,-12.1927
yellow,14.7792,-14.2447
yellow,16.3733,-11.6972
blue,13.4795,-8.8187
yellow,16.4566,-8.9473
blue,13.5501,-6.2899
yellow,16.6158,-6.2401
blue,13.5257,-3.9024
yellow,16.5315,-3.8507
blue,13.6372,-1.6095
blue,13.5176,0.914
yellow,16.4691,0.7624
blue,13.5673,3.2442
yellow,16.4743,3.4093
blue,13.4632,5.7195
yellow,16.6274,5.8644
blue,13.4708,8.2087
yellow,16.2345,8.4497
blue,13.5259,10.318
yellow,16.3998,10.7234
blue,12.8558,11.9783
yellow,15.4027,13.5843
blue,11.6133,13.195
yellow,13.0485,15.7563
blue,9.6174,13.4972
yellow,10.0861,16.4767
blue,7.7183,13.574
yellow,7.576,16.4548
blue,4.9884,13.5777
yellow,5.0485,16.6046
blue,2.6345,13.4658
blue,0.3219,13.4074
yellow,0.2684,16.4487
blue,-2.1763,13.571
yellow,-2.11,16.5092
blue,-4.4847,13.563
yellow,-4.5584,16.6763
blue,-7.012,13.5231
yellow,-6.9966,16.4191
blue,-11.1873,13.3857
yellow,-12.2997,16.0849
blue,-12.5392,12.4124
yellow,-14.9731,14.4248
blue,-13.4865,10.7007
yellow,-16.2216,11.74
yellow,-16.5795,8.9248
blue,-13.3616,6.3065
yellow,-16.3595,6.3973
blue,-13.3608,3.9705
blue,-13.5881,1.5251
yellow,-16.4923,1.6099
blue,-13.5493,-0.7557
yellow,-16.4077,-0.8987
blue,-13.3293,-3.1883
yellow,-16.4126,-3.2226
blue,-13.4991,-5.7203
yellow,-16.5366,-5.7259
blue,-13.4351,-8.2702
yellow,-16.6223,-8.3264
blue,-13.4377,-10.2921
yellow,-16.5309,-10.9496
blue,-12.8226,-11.9858
blue,-11.646,-13.1508
yellow,-13.0658,-15.9309
yellow,-10.269,-16.4534
blue,-9.7016,-13.5466
yellow,-10.2702,-16.4335
